Fecha,Close,Ticker
2021-11-09,40.02,XLF
2021-11-09,62.880001,IEMG
2021-11-09,81.639999,EFA
2021-11-09,83.644997,XLK
2021-11-09,148.918503,GOOGL
2021-11-09,150.809998,AAPL
2021-11-09,150.960007,TLT
2021-11-09,171.289993,GLD
2021-11-09,178.811493,AMZN
2021-11-09,242.059998,VTI
2021-11-09,335.369995,META
2021-11-09,335.950012,MSFT
2021-11-09,341.166656,TSLA
2021-11-09,395.320007,QQQ
2021-11-09,429.720001,VOO
2021-11-09,477.119995,CSPX.L
2021-11-10,29.459,NVDA
2021-11-10,39.950001,XLF
2021-11-10,62.639999,IEMG
2021-11-10,80.650002,EFA
2021-11-10,82.264999,XLK
2021-11-10,145.893494,GOOGL
2021-11-10,147.919998,AAPL
2021-11-10,148.199997,TLT
2021-11-10,173.149994,GLD
2021-11-10,174.102493,AMZN
2021-11-10,239.679993,VTI
2021-11-10,327.640015,META
2021-11-10,330.799988,MSFT
2021-11-10,355.983337,TSLA
2021-11-10,389.51001,QQQ
2021-11-10,426.26001,VOO
2021-11-10,476.950012,CSPX.L
2021-11-11,30.389999,NVDA
2021-11-11,40.060001,XLF
2021-11-11,63.639999,IEMG
2021-11-11,80.940002,EFA
2021-11-11,82.650002,XLK
2021-11-11,145.766495,GOOGL
2021-11-11,147.869995,AAPL
2021-11-11,147.979996,TLT
2021-11-11,173.625,AMZN
2021-11-11,174.119995,GLD
2021-11-11,239.970001,VTI
2021-11-11,327.73999,META
2021-11-11,332.429993,MSFT
2021-11-11,354.503326,TSLA
2021-11-11,390.589996,QQQ
2021-11-11,426.399994,VOO
2021-11-11,474.670013,CSPX.L
2021-11-12,30.389999,NVDA
2021-11-12,40.150002,XLF
2021-11-12,63.830002,IEMG
2021-11-12,81.379997,EFA
2021-11-12,83.654999,XLK
2021-11-12,147.330002,TLT
2021-11-12,148.677994,GOOGL
2021-11-12,149.990005,AAPL
2021-11-12,174.449997,GLD
2021-11-12,176.257507,AMZN
2021-11-12,241.75,VTI
2021-11-12,336.720001,MSFT
2021-11-12,340.890015,META
2021-11-12,344.473328,TSLA
2021-11-12,394.700012,QQQ
2021-11-12,429.570007,VOO
2021-11-12,477.079987,CSPX.L
2021-11-15,30.025,NVDA
2021-11-15,40.150002,XLF
2021-11-15,63.650002,IEMG
2021-11-15,81.230003,EFA
2021-11-15,83.57,XLK
2021-11-15,145.479996,TLT
2021-11-15,148.451996,GOOGL
2021-11-15,150.0,AAPL
2021-11-15,174.179993,GLD
2021-11-15,177.283997,AMZN
2021-11-15,241.75,VTI
2021-11-15,336.070007,MSFT
2021-11-15,337.796661,TSLA
2021-11-15,347.559998,META
2021-11-15,394.609985,QQQ
2021-11-15,429.769989,VOO
2021-11-15,477.929993,CSPX.L
2021-11-16,30.202999,NVDA
2021-11-16,40.110001,XLF
2021-11-16,63.650002,IEMG
